CAR_ID,VIN,MODEL_YEAR,VEHICLE_CONFIG,DOORS,STATE,STATE_AB,COUNTRY,PART_NUMBER,BATTERY_SERIAL_NUMBER
127,27qb527q27qb12031,1993,suv,2,Colorado,CO,USA,77AHT322021,77AHT32202143280
128,5teuv5te5teu45338,2004,suv,2,Missouri,MO,USA,49AHT232018,49AHT23201832309
129,2dxwh2dx2dxw22889,1996,suv,2,Hawaii,HI,USA,63AHH272019,63AHH27201984817
130,7gu9q7gu7gu967129,2011,sedan,4,Ohio,OH,USA,74AHQ312020,74AHQ31202030439
131,2blwk2bl2blw12630,1995,suv,2,Georgia,GA,USA,92AHE372022,92AHE37202236814
132,2dhdw2dh2dhd22941,1996,suv,2,Hawaii,HI,USA,69AH5302020,69AH530202026919
133,7kwcs7kw7kwc77706,2013,sedan,4,Pennsylvania,PA,USA,85AHE352021,85AHE35202152477
134,2a9dp2a92a9d12590,1995,suv,2,Florida,FL,USA,47AHH222018,47AHH22201876992
135,5vyya5vy5vyy55584,2005,sedan,4,Montana,MT,USA,80AHK332021,80AHK33202150326
136,4ryek4ry4rye44970,2003,suv,2,Minnesota,MN,USA,67AHE292020,67AHE29202094225
137,14rlt14r14rl01672,1992,suv,2,Arkansas,AR,USA,42AH5202018,42AH520201885161
138,3gij23gi3gij23332,1998,suv,2,Illinois,IL,USA,99AHH402022,99AHH40202235027
141,7i1p57i17i1p77514,2012,sedan,4,Oregon,OR,USA,81AHE342021,81AHE34202112396
142,2corg2co2cor22844,1996,suv,2,Hawaii,HI,USA,63AHH272019,63AHH27201912535
143,6c43s6c46c4366630,2009,sedan,4,New York,NY,USA,72AHE312020,72AHE31202063701
144,3gjhz3gj3gjh23442,1998,suv,2,Indiana,IN,USA,47AHK222018,47AHK22201857239
145,10tzl10t10tz01027,1990,suv,2,Alabama,AL,USA,85AHE352021,85AHE35202111435
146,4rjxf4rj4rjx44989,2003,suv,2,Minnesota,MN,USA,67AHE292020,67AHE29202050454
147,27a3o27a27a312070,1993,suv,2,Colorado,CO,USA,77AHT322021,77AHT32202119599
148,8niut8ni8niu88211,2014,sedan,4,South Dakota,SD,USA,72AHH312020,72AHH31202070964
150,5xrlh5xr5xrl55854,2006,sedan,4,Nebraska,NE,USA,42AHH202018,42AHH20201893316
151,13auw13a13au01571,1991,suv,2,Arkansas,AR,USA,56AHT252019,56AHT25201961928
152,8qhhp8qh8qhh88691,2016,sedan,4,Texas,TX,USA,56AHQ252019,56AHQ25201993449
153,7jyn57jy7jyn77601,2012,sedan,4,Oregon,OR,USA,60AHC272019,60AHC27201994644
154,29mbr29m29mb12436,1994,suv,2,Delaware,DE,USA,92AHC372022,92AHC37202289290
155,28dne28d28dn12212,1994,suv,2,Connecticut,CT,USA,80AHK342021,80AHK34202170008
156,3fqda3fq3fqd23213,1997,suv,2,Illinois,IL,USA,45AHK212018,45AHK21201823356
157,7hvkw7hv7hvk77374,2011,sedan,4,Oklahoma,OK,USA,62AH5272019,62AH527201988272
158,3fjd83fj3fjd23182,1997,suv,2,Illinois,IL,USA,45AHK212018,45AHK21201831929
159,7j8n97j87j8n77643,2012,sedan,4,Oregon,OR,USA,60AHC272019,60AHC27201931622
160,4ohow4oh4oho34580,2002,suv,2,Maryland,MD,USA,83AHE342021,83AHE34202196754
162,14qc914q14qc01660,1992,suv,2,Arkansas,AR,USA,42AH5202018,42AH520201872518
163,28s3x28s28s312274,1994,suv,2,Delaware,DE,USA,49AHH232018,49AHH23201868495
165,12xqw12x12xq01408,1991,suv,2,Arizona,AZ,USA,72AHH312020,72AHH31202028976
166,7mcsn7mc7mcs77981,2014,sedan,4,Rhode Island,RI,USA,79AHH332021,79AHH33202130059
167,6z5zj6z56z5z56133,2007,sedan,4,New Hampshire,NH,USA,71AH5302020,71AH530202092091
168,6coum6co6cou66578,2009,sedan,4,New Mexico,NM,USA,60AHH272019,60AHH27201951290
170,3dtir3dt3dti23010,1996,suv,2,Idaho,ID,USA,55AHQ252019,55AHQ25201913481
172,5xyef5xy5xye55867,2006,sedan,4,Nevada,NV,USA,41AHT202018,41AHT20201812563
173,2cfz82cf2cfz22886,1996,suv,2,Hawaii,HI,USA,63AHH272019,63AHH27201974578
174,6encu6en6enc66890,2010,sedan,4,North Carolina,NC,USA,49AHT232018,49AHT23201828363
176,5sy9w5sy5sy945127,2004,suv,2,Minnesota,MN,USA,41AHC202018,41AHC20201877668
177,28shc28s28sh12184,1994,suv,2,Connecticut,CT,USA,80AHK342021,80AHK34202115966
178,7h6az7h67h6a67251,2011,sedan,4,Ohio,OH,USA,43AH5212018,43AH521201898554
180,3kbu93kb3kbu33971,2000,suv,2,Kentucky,KY,USA,46AHE222018,46AHE22201895699
181,8rogq8ro8rog88730,2016,sedan,4,Texas,TX,USA,56AHQ252019,56AHQ25201932607
182,27xao27x27xa12125,1993,suv,2,Connecticut,CT,USA,65AHK282020,65AHK28202014506
183,6dqwl6dq6dqw66672,2009,sedan,4,New York,NY,USA,94AHC382022,94AHC38202256939
185,7jqq77jq7jqq77676,2012,sedan,4,Pennsylvania,PA,USA,85AHE352021,85AHE35202152144
186,5simd5si5sim45134,2004,suv,2,Minnesota,MN,USA,41AHC202018,41AHC20201843452
187,14vn814v14vn01704,1992,suv,2,Arkansas,AR,USA,42AH5202018,42AH520201843299
188,6emi06em6emi66927,2010,sedan,4,North Carolina,NC,USA,49AHT232018,49AHT23201890371
189,14z6k14z14z601699,1992,suv,2,Arkansas,AR,USA,42AH5202018,42AH520201860398
190,5tztn5tz5tzt45342,2004,suv,2,Missouri,MO,USA,49AHT232018,49AHT23201822773
191,4lmbi4lm4lmb34070,2000,suv,2,Louisiana,LA,USA,92AHQ382022,92AHQ38202297269
193,6d3ga6d36d3g66785,2009,sedan,4,North Carolina,NC,USA,83AHK352021,83AHK35202137450
194,8qfuz8qf8qfu88550,2016,sedan,4,Tennessee,TN,USA,59AHQ262019,59AHQ26201934761
196,4le7b4le4le734182,2000,suv,2,Louisiana,LA,USA,55AHT252019,55AHT25201946199
197,4ltjc4lt4ltj34166,2000,suv,2,Louisiana,LA,USA,55AHT252019,55AHT25201947823
198,2arro2ar2arr12529,1995,suv,2,Florida,FL,USA,75AHH322020,75AHH32202089684
199,6b6v56b66b6v66503,2008,sedan,4,New Mexico,NM,USA,60AHH272019,60AHH27201938519
200,4ll6l4ll4ll634103,2000,suv,2,Louisiana,LA,USA,92AHQ382022,92AHQ38202256152
201,3isdu3is3isd33700,1999,suv,2,Kansas,KS,USA,45AHK212018,45AHK21201869600
202,15xh115x15xh01819,1992,suv,2,California,CA,USA,90AHC372022,90AHC37202256211
203,2bmru2bm2bmr12651,1995,suv,2,Georgia,GA,USA,92AHE372022,92AHE37202264070
204,6aryo6ar6ary56341,2008,sedan,4,New Jersey,NJ,USA,65AHQ282020,65AHQ28202083947
205,3ekr63ek3ekr23055,1997,suv,2,Idaho,ID,USA,55AHQ252019,55AHQ25201912674
206,8rcgj8rc8rcg88745,2016,sedan,4,Utah,UT,USA,93AHK382022,93AHK38202224753
207,6djya6dj6djy66775,2009,sedan,4,North Carolina,NC,USA,83AHK352021,83AHK35202170107
208,6zysl6zy6zys56213,2007,sedan,4,New Hampshire,NH,USA,71AH5302020,71AH530202023872
209,2d1ac2d12d1a22998,1996,suv,2,Idaho,ID,USA,55AHQ252019,55AHQ25201934473
210,10fm710f10fm01083,1990,suv,2,Alabama,AL,USA,85AHE352021,85AHE35202197210
211,3f3wj3f33f3w23289,1997,suv,2,Illinois,IL,USA,99AHH402022,99AHH40202291092
213,144gu144144g01720,1992,suv,2,California,CA,USA,82AHT342021,82AHT34202194512
214,5xeu65xe5xeu55790,2006,sedan,4,Nebraska,NE,USA,42AHH202018,42AHH20201881704
215,6bkad6bk6bka66421,2008,sedan,4,New Mexico,NM,USA,62AHQ272019,62AHQ27201946947
216,4npel4np4npe34479,2001,suv,2,Maryland,MD,USA,91AHT372022,91AHT37202224899
217,5wzx35wz5wzx55654,2006,sedan,4,Montana,MT,USA,52AHC242018,52AHC24201816378
219,10fdu10f10fd01105,1990,suv,2,Alabama,AL,USA,46AHE222018,46AHE22201835352
220,6zirm6zi6zir56082,2007,sedan,4,New Hampshire,NH,USA,47AHT222018,47AHT22201820586
221,3fov73fo3fov23200,1997,suv,2,Illinois,IL,USA,45AHK212018,45AHK21201836085
222,4nypz4ny4nyp34384,2001,suv,2,Maine,ME,USA,61AHT272019,61AHT27201979703
223,8prme8pr8prm88408,2015,sedan,4,Tennessee,TN,USA,69AHQ302020,69AHQ30202016878
224,4mnn84mn4mnn34311,2001,suv,2,Maine,ME,USA,73AHE312020,73AHE31202076821
225,4rpqy4rp4rpq44965,2003,suv,2,Minnesota,MN,USA,67AHE292020,67AHE29202048463
226,3j0de3j03j0d33859,1999,suv,2,Kansas,KS,USA,52AH5242018,52AH524201815160
227,13oyd13o13oy01464,1991,suv,2,Arizona,AZ,USA,63AHQ282019,63AHQ28201936241
228,5t4ew5t45t4e45210,2004,suv,2,Mississippi,MS,USA,77AHQ322021,77AHQ32202129112
229,2bm5m2bm2bm512664,1995,suv,2,Georgia,GA,USA,92AHE372022,92AHE37202258668
230,4ogjy4og4ogj34485,2002,suv,2,Maryland,MD,USA,91AHT372022,91AHT37202219538
231,13suf13s13su01485,1991,suv,2,Arizona,AZ,USA,63AHQ282019,63AHQ28201960711
232,5xnj85xn5xnj55924,2006,sedan,4,Nevada,NV,USA,41AHT202018,41AHT20201846956
233,3fuch3fu3fuc23273,1997,suv,2,Illinois,IL,USA,99AHH402022,99AHH40202217761
234,8mizd8mi8miz78061,2014,sedan,4,South Carolina,SC,USA,46AHH222018,46AHH22201886293
235,4mjfw4mj4mjf34328,2001,suv,2,Maine,ME,USA,73AHE312020,73AHE31202046048
236,13ii513i13ii01505,1991,suv,2,Arizona,AZ,USA,63AHQ282019,63AHQ28201962728
237,3fkje3fk3fkj23230,1997,suv,2,Illinois,IL,USA,45AHK212018,45AHK21201891359
238,8mdxn8md8mdx78070,2014,sedan,4,South Carolina,SC,USA,46AHH222018,46AHH22201851038
239,8pszz8ps8psz88481,2015,sedan,4,Tennessee,TN,USA,59AHQ262019,59AHQ26201911505
240,7hc527hc7hc567285,2011,sedan,4,Ohio,OH,USA,43AH5212018,43AH521201822286
241,3e7yr3e73e7y23043,1997,suv,2,Idaho,ID,USA,55AHQ252019,55AHQ25201925290
242,3ejxk3ej3ejx23075,1997,suv,2,Idaho,ID,USA,66AHQ292020,66AHQ29202047527
243,3ip5k3ip3ip523681,1999,suv,2,Iowa,IA,USA,96AHE392022,96AHE39202242945
244,6brk16br6brk56382,2008,sedan,4,New Jersey,NJ,USA,65AHQ282020,65AHQ28202012178
245,2buzj2bu2buz12691,1995,suv,2,Georgia,GA,USA,92AHE372022,92AHE37202224094
246,28a2f28a28a212268,1994,suv,2,Delaware,DE,USA,49AHH232018,49AHH23201810317
247,5tqma5tq5tqm45247,2004,suv,2,Mississippi,MS,USA,85AHQ352021,85AHQ35202174321
248,3hzhj3hz3hzh23551,1998,suv,2,Iowa,IA,USA,41AHH202018,41AHH20201868070
249,7krh97kr7krh77699,2013,sedan,4,Pennsylvania,PA,USA,85AHE352021,85AHE35202111403
250,6bctc6bc6bct66514,2008,sedan,4,New Mexico,NM,USA,60AHH272019,60AHH27201952199
251,5rtos5rt5rto45032,2003,suv,2,Minnesota,MN,USA,67AHE292020,67AHE29202022903
252,28znm28z28zn12287,1994,suv,2,Delaware,DE,USA,49AHH232018,49AHH23201840293
254,2bkjq2bk2bkj12613,1995,suv,2,Florida,FL,USA,47AHH222018,47AHH22201823886
255,8pvfs8pv8pvf88516,2015,sedan,4,Tennessee,TN,USA,59AHQ262019,59AHQ26201946503
256,15h4515h15h401780,1992,suv,2,California,CA,USA,82AHT342021,82AHT34202120927
30,9utwu9ut9utw99272,2018,sedan,4,Virginia,VA,USA,88AHH362021,88AHH36202147206
64,9todz9to9tod89029,2017,sedan,4,Vermont,VT,USA,88AHH362021,88AHH36202160478
87,8scyn8sc8scy88965,2017,sedan,4,Vermont,VT,USA,88AHH362021,88AHH36202120978
89,9u34o9u39u3499143,2018,sedan,4,Virginia,VA,USA,88AHH362021,88AHH36202171376
90,8t7fx8t78t7f88993,2017,sedan,4,Vermont,VT,USA,88AHH362021,88AHH36202165629
126,9ur8p9ur9ur899242,2018,sedan,4,Virginia,VA,USA,88AHH362021,88AHH36202123408
139,9tcvv9tc9tcv89065,2017,sedan,4,Vermont,VT,USA,88AHH362021,88AHH36202177295
149,9upoi9up9upo99264,2018,sedan,4,Virginia,VA,USA,88AHH362021,88AHH36202144273
164,9tdyu9td9tdy89075,2017,sedan,4,Vermont,VT,USA,88AHH362021,88AHH36202171671
171,9vye09vy9vye99402,2018,sedan,4,Washington,WA,USA,88AHH362021,88AHH36202191018
192,9uhxu9uh9uhx99160,2018,sedan,4,Virginia,VA,USA,88AHH362021,88AHH36202176945
195,9uvwx9uv9uvw99178,2018,sedan,4,Virginia,VA,USA,88AHH362021,88AHH36202134176
212,9uasq9ua9uas99197,2018,sedan,4,Virginia,VA,USA,88AHH362021,88AHH36202184681
218,9t3wj9t39t3w89058,2017,sedan,4,Vermont,VT,USA,88AHH362021,88AHH36202133561
26,9yuiq9yu9yui99818,2020,sedan,4,Wisconsin,WI,USA,72AHT312020,72AHT31202070595
94,9zlbf9zl9zlb99975,2020,sedan,4,Wyoming,WY,USA,72AHT312020,72AHT31202094350
109,9ze259ze9ze299909,2020,sedan,4,Wyoming,WY,USA,72AHT312020,72AHT31202037796
169,9zt8d9zt9zt899971,2020,sedan,4,Wyoming,WY,USA,72AHT312020,72AHT31202087178
179,9zvwz9zv9zvw99896,2020,sedan,4,Wyoming,WY,USA,72AHT312020,72AHT31202096608
97,9wcib9wc9wci99445,2019,sedan,4,Washington,WA,USA,72AHT312020,72AHT31202059263
140,9xn9x9xn9xn999573,2019,sedan,4,West Virginia,WV,USA,72AHT312020,72AHT31202047287
161,9xiqn9xi9xiq99627,2019,sedan,4,West Virginia,WV,USA,72AHT312020,72AHT31202089530
175,9xfgl9xf9xfg99677,2019,sedan,4,Wisconsin,WI,USA,72AHT312020,72AHT31202016809
184,9w1sb9w19w1s99441,2019,sedan,4,Washington,WA,USA,72AHT312020,72AHT31202014940
253,9wmgm9wm9wmg99422,2019,sedan,4,Washington,WA,USA,72AHT312020,72AHT31202030365
257,3hw2l3hw3hw223502,1998,suv,2,Indiana,IN,USA,47AHK222018,47AHK22201819747
258,1197w119119701206,1990,suv,2,Alaska,AK,USA,40AHC202018,40AHC20201854420
259,11gpg11g11gp01239,1990,suv,2,Alaska,AK,USA,40AHC202018,40AHC20201898904
260,8nfff8nf8nff78196,2014,sedan,4,South Carolina,SC,USA,85AHQ352021,85AHQ35202176488
261,11js611j11js01253,1990,suv,2,Alaska,AK,USA,40AHC202018,40AHC20201811873
262,29zrs29z29zr12450,1994,suv,2,Florida,FL,USA,75AHH322020,75AHH32202067142
263,6aer76ae6aer56370,2008,sedan,4,New Jersey,NJ,USA,65AHQ282020,65AHQ28202062493
264,7lf6f7lf7lf677907,2013,sedan,4,Rhode Island,RI,USA,69AHK302020,69AHK30202023412
265,5whws5wh5whw55723,2006,sedan,4,Nebraska,NE,USA,61AHC272019,61AHC27201970985
266,7i4gf7i47i4g77504,2012,sedan,4,Oregon,OR,USA,81AHE342021,81AHE34202125940
267,10mlu10m10ml01143,1990,suv,2,Alabama,AL,USA,46AHE222018,46AHE22201873594
268,8n7ds8n78n7d78167,2014,sedan,4,South Carolina,SC,USA,85AHQ352021,85AHQ35202138712
269,5r1su5r15r1s45045,2003,suv,2,Minnesota,MN,USA,67AHE292020,67AHE29202071975
270,13qjt13q13qj01510,1991,suv,2,Arizona,AZ,USA,63AHQ282019,63AHQ28201937410
